LAMMPS data file via write_data, version 29 Oct 2020, timestep = 0

72 atoms
8 8 9 5
9 9 10 9
10 10 11 9
11 11 12 2
12 36 12 11
13 12 13 12
14 13 14 13
15 14 15 14
16 15 16 15
17 16 17 1
18 17 18 2
19 18 19 3
20 19 20 4
21 20 21 5
22 21 22 7
23 22 23 7
24 23 24 8
25 24 25 8
26 25 26 8
27 26 27 9
28 27 28 10
29 28 29 12
30 29 30 13
31 30 31 13
32 31 32 15
33 32 33 15
34 33 34 16
35 34 35 16
36 35 36 16
37 1 38 37
38 2 39 38
39 3 40 39
40 4 41 39
41 5 42 41
42 6 43 42
43 7 44 43
44 8 45 41
45 9 46 45
46 10 47 45
47 11 48 38
48 36 48 47
49 12 49 48
50 13 50 49
51 14 51 50
52 15 52 51
53 16 53 37
54 17 54 38
55 18 55 39
56 19 56 40
57 20 57 41
58 21 58 43
59 22 59 43
60 23 60 44
61 24 61 44
62 25 62 44
63 26 63 45
64 27 64 46
65 28 65 48
66 29 66 49
67 30 67 49
68 31 68 51
69 32 69 51
70 33 70 52
71 34 71 52
72 35 72 52

Angles

1 15 2 1 17
2 1 1 2 3
3 10 1 2 12
4 16 1 2 18
5 36 12 2 18
6 37 3 2 18
7 54 3 2 12
8 2 2 3 4
9 3 2 3 5
10 17 2 3 19
11 35 5 3 19
12 44 4 3 19
13 47 4 3 5
14 18 3 4 20
15 4 3 5 6
16 7 3 5 9
17 19 3 5 21
18 48 9 5 21
19 56 6 5 21
20 59 6 5 9
21 5 5 6 7
22 6 6 7 8
23 20 6 7 22
24 21 6 7 23
25 43 22 7 23
26 50 8 7 23
27 55 8 7 22
28 22 7 8 24
29 23 7 8 25
30 24 7 8 26
31 38 24 8 26
32 46 25 8 26
33 60 24 8 25
34 8 5 9 10
35 9 5 9 11
36 25 5 9 27
37 41 11 9 27
38 57 10 9 11
39 66 10 9 27
40 26 9 10 28
41 42 9 11 12
42 11 2 12 13
43 27 2 12 29
44 39 11 12 29
45 52 2 12 11
46 63 11 12 13
47 65 13 12 29
48 12 12 13 14
49 28 12 13 30
50 29 12 13 31
51 49 14 13 30
52 51 30 13 31
53 53 14 13 31
54 13 13 14 15
55 14 14 15 16
56 30 14 15 32
57 31 14 15 33
58 40 32 15 33
59 62 16 15 32
60 64 16 15 33
61 32 15 16 34
62 33 15 16 35
63 34 15 16 36
64 45 34 16 35
65 58 35 16 36
66 61 34 16 36
67 15 38 37 53
68 1 37 38 39
69 10 37 38 48
70 16 37 38 54
71 36 48 38 54
72 37 39 38 54
73 54 39 38 48
74 2 38 39 40
75 3 38 39 41
76 17 38 39 55
77 35 41 39 55
78 44 40 39 55
79 47 40 39 41
80 18 39 40 56
81 4 39 41 42
82 7 39 41 45
83 19 39 41 57
84 48 45 41 57
85 56 42 41 57
86 59 42 41 45
87 5 41 42 43
88 6 42 43 44
89 20 42 43 58
90 21 42 43 59
91 43 58 43 59
92 50 44 43 59
93 55 44 43 58
94 22 43 44 60
95 23 43 44 61
96 24 43 44 62
97 38 60 44 62
98 46 61 44 62
99 60 60 44 61
100 8 41 45 46
101 9 41 45 47
102 25 41 45 63
103 41 47 45 63
104 57 46 45 47
105 66 46 45 63
106 26 45 46 64
107 42 45 47 48
108 11 38 48 49
109 27 38 48 65
110 39 47 48 65
111 52 38 48 47
112 63 47 48 49
113 65 49 48 65
114 12 48 49 50
115 28 48 49 66
116 29 48 49 67
117 49 50 49 66
118 51 66 49 67
119 53 50 49 67
120 13 49 50 51
121 14 50 51 52
122 30 50 51 68
123 31 50 51 69
124 40 68 51 69
125 62 52 51 68
126 64 52 51 69
127 32 51 52 70
128 33 51 52 71
129 34 51 52 72
130 45 70 52 71
131 58 71 52 72
132 61 70 52 72

Dihedrals

